"site","date","amplitude_ratio","phase_lag","mean_offset","mean_ratio","R2_water","R2_air"
"Crane Creek",2023-03-06,0.671658529387387,5.65214040600075,10.6612500010977,-0.528494624001103,0.955811469149122,0.638978829742876
"Crane Creek",2023-03-07,0.231973573641355,2.90396527887517,13.2154166948814,-0.307378400663951,0.892437114112036,0.810726125752781
"Crane Creek",2023-03-08,0.2829920199547,1.74291009946305,11.8745833333197,-0.293645029703462,0.970024799664808,0.734740894393596
"Crane Creek",2023-03-09,0.277561513672104,2.73076971730414,10.0470833396487,-0.456099034725633,0.951940222230175,0.922865851778111
"Crane Creek",2023-03-10,0.139179450804078,4.82177285983643,6.04916666666667,-0.946112600536193,0.695553899213656,0.86943339194289
"Crane Creek",2023-03-11,0.812210826293529,3.27438263773176,7.81833333553698,-1.01330472159751,0.916366214389233,0.529328785755167
"Crane Creek",2023-03-12,0.260711245161364,2.27662557496561,10.0970833359835,-0.590091863269176,0.96827398855,0.850790343054834
"Crane Creek",2023-03-13,0.389095344388954,2.39334426355889,6.14166666531735,-3.78571428969466,0.96204928438034,0.95641213220047
"Crane Creek",2023-03-14,0.274685141963401,2.42771258834583,4.59916666561201,4.46018809780272,0.968713384963177,0.950801598916778
"Crane Creek",2023-03-15,0.472759090258149,8.79821055753605,5.19458332477152,6.54088882749393,0.896848040637949,0.646218353705384
"Crane Creek",2023-03-16,0.413462317821077,3.40672829165818,10.0091666669777,-0.859287925754225,0.949156548439637,0.733349127230051
"Crane Creek",2023-03-17,0.318599988656617,3.15841220498045,10.3533333302943,-0.613506493712349,0.961291895399173,0.723111640670902
"Crane Creek",2023-03-18,0.276403874218341,2.82461447144348,10.795416666853,-0.517809021701656,0.973128228031698,0.788765650215516
"Crane Creek",2023-03-19,0.303829681312235,2.83190246823704,8.67541666228955,-0.889382939758106,0.976047719939955,0.866799020187435
"Crane Creek",2023-03-20,0.301212842183503,3.03412238980761,8.52875,-1.33931428571429,0.957424881332967,0.87690995121296
